controller,k,t,reference,y,u,predicted_y0,stage_qp_cost,solve_time_sec,qp_status
linear,148,2.96,0.6,0.5990833892452136,0.5990835215278828,0.5993741307497144,0.27697262136711115,0.035534833994461223,optimal
linear,149,2.98,0.6,0.5990833901994014,0.5990833250105818,0.5993741683906897,0.27697259458267137,0.035600375005742535,optimal
linear,150,3.0,0.6,0.5990833912432324,0.5990832255882534,0.5993741708513896,0.27697260053070094,0.03553316701436415,optimal
linear,151,3.02,0.6,0.5990833917903644,0.5990833662683543,0.59937413074898,0.27697262136712725,0.03555100000812672,optimal
linear,152,3.04,0.6,0.5990833919421261,0.5990834418033929,0.5993741307493373,0.2769726213671156,0.03594233401236124,optimal
linear,153,3.06,0.6,0.5990833921363287,0.5990833004840377,0.5993741757740836,0.27697261242681614,0.03846850001718849,optimal
linear,154,3.08,0.6,0.599083392238784,0.5990832246057669,0.5993741757737248,0.2769726124268046,0.048873708001337945,optimal
linear,155,3.1,0.6,0.599083391827863,0.5990833779273241,0.5993741356713752,0.2769726332632249,0.036334000003989786,optimal
linear,156,3.12,0.6,0.5990833910800802,0.5990834541566625,0.5993741332105657,0.2769726273151627,0.03623399999924004,optimal
linear,157,3.14,0.6,0.599083390460459,0.5990833132100962,0.5993741782353138,0.27697261837487086,0.03631912497803569,optimal
linear,158,3.16,0.6,0.5990833898367272,0.5990832375319869,0.5993741782349559,0.2769726183748587,0.03612454200629145,optimal
linear,159,3.18,0.6,0.5990833887877866,0.5990833970542622,0.5993741405938056,0.2769726451593232,0.03612920898012817,optimal
linear,160,3.2,0.6,0.5990833875018189,0.5990834705196909,0.599374135671813,0.27697263326320987,0.03653654200024903,optimal
linear,161,3.22,0.6,0.5990833864486609,0.5990835099653118,0.5993741356719996,0.27697263326320676,0.03896145799080841,optimal
linear,162,3.24,0.6,0.5990833858441591,0.5990835250515103,0.5993741332109009,0.27697262731515804,0.048336333013139665,optimal
linear,163,3.2600000000000002,0.6,0.5990833857796481,0.5990835331517073,0.5993741332109392,0.27697262731515765,0.03614283399656415,optimal
linear,164,3.2800000000000002,0.6,0.5990833862795588,0.5990835253144338,0.5993741282885623,0.2769726154190642,0.03609145898371935,optimal
linear,165,3.3000000000000003,0.6,0.5990833873201072,0.5990835150131391,0.5993741258273435,0.2769726094710183,0.035217124997871,optimal
linear,166,3.3200000000000003,0.6,0.5990833888404344,0.5990835094820889,0.5993741258273174,0.2769726094710183,0.03554874999099411,optimal
linear,167,3.34,0.6,0.5990833907848017,0.5990834943258213,0.5993741209049058,0.27697259757492787,0.03541337497881614,optimal
linear,168,3.36,0.6,0.5990833930882903,0.5990833043117952,0.5993741659294218,0.276972588634617,0.03591304100700654,optimal
linear,169,3.38,0.6,0.599083395323397,0.5990833902574632,0.5993741233655837,0.2769726035229787,0.05118516698712483,optimal
linear,170,3.4,0.6,0.5990833972836871,0.5990832545278623,0.5993741683903564,0.27697259458265466,0.03584674999001436,optimal
linear,171,3.42,0.6,0.5990833988717854,0.599083187744132,0.5993741708512106,0.27697260053069644,0.03543445799732581,optimal
linear,172,3.44,0.6,0.5990833997000612,0.5990833398555531,0.5993741282876852,0.2769726154190836,0.03543620900018141,optimal
linear,173,3.46,0.6,0.5990833999651526,0.5990834276216289,0.5993741307492703,0.27697262136711764,0.03557508299127221,optimal
linear,174,3.48,0.6,0.5990834001573925,0.599083456465923,0.5993741233658967,0.27697260352297326,0.036021709005581215,optimal
linear,175,3.5,0.6,0.5990834005066555,0.5990832839837702,0.5993741659293258,0.2769725886346119,0.035941667010774836,optimal
linear,176,3.52,0.6,0.5990834007212729,0.5990832035598233,0.5993741708512853,0.276972600530698,0.03600270798779093,optimal
linear,177,3.54,0.6,0.5990834003112213,0.5990833483474348,0.5993741282877254,0.276972615419082,0.051856083009624854,optimal
linear,178,3.56,0.6,0.5990833994316896,0.5990834321811547,0.5993741307492918,0.2769726213671166,0.03636441699927673,optimal
linear,179,3.58,0.6,0.5990833985518065,0.5990834650073045,0.5993741258271071,0.27697260947101904,0.03552625002339482,optimal
resdynet_ltv,0,0.0,0.6,0.0,2.0,-7.2552775593152236e-06,38.74546809474169,0.036902040999848396,optimal
